file_name,Notes,Category
acerperformancepanel.exe,,"OEM fan, thermal, and tuning tools (frequently overlooked)"
acerperformanceui.exe,,"OEM control panels & vendor agents (signed, side-loadable)"
acerperformanceux.exe,,"OEM utilities for fans, boost, UI helpers"
acerperipheralsvc.exe,,"OEM tools for wireless, input, and peripherals (frequently side-loaded)"
acerpowersyncsvc.exe,,"OEM energy management, boot, and fast startup agents"
acerquickstart.exe,,"OEM bloatware & preinstalled support agents (signed, side-loadable)"
acerskinloader.exe,,OEM branding and customization agents
acersystemenergyux.exe,,"OEM battery, docking, and power profile switchers"
acerthermalcenter.exe,,OEM health dashboards & power control utilities
acerupdateservice.exe,,Support and diagnostics tools from vendors
acerzoneux.exe,,"OEM overlay, lighting, and control surfaces"
aclayers.dll,,Compatibility / Legacy bridging
acpi.sys,,Compatibility / Legacy bridging
acppage.dll,,Compatibility / Legacy bridging
acres.dll,,"App compat, manifest loaders"
acrobat.exe,,Adobe
acronisservice.exe,,Third-party IT and backup platforms
acrord32.exe,,Adobe
acrotray.exe,,Lesser-known signed 3rd-party updaters
activationclient.exe,,Microsoft licensing / activation components (signed)
activationflowhost.exe,,"Licensing, entitlement, subscription-based feature enablers"
activationhost.exe,,Licensing & activation binaries (abuse potential for sideloading)
activationux.exe,,Licensing & activation binaries (abuse potential for sideloading)
activationuxhelper.exe,,Cloud/activation/license-related fallback services
activationuxhost.exe,,Activation UI + account connection
activationworkflowhost.exe,,"KMS, volume licensing, and enterprise key services"
activeds.dll,,Rare COM/OLE Payload hosts
activedsquery.exe,,Deprecated but signed Microsoft tools still present in WinSxS or OEM deployments
activexbroker.exe,,COM/ActiveX mediators and registration helpers
activexcontrolpanel.exe,,Legacy COM/OLE helpers
activexhost.exe,,COM/OLE script runners (abused in legacy payloads)
activexinstallhost.exe,,"Legacy COM/OLE, XSL, and deprecated but present interfaces"
activexstub.exe,,Legacy COM/OLE helpers
activityhistoryhost.exe,,Data privacy / sync / diagnostic UX
activityhost.exe,,"Microsoft Feedback, Logging, and Engagement Agents"
actxprxy.dll,,COM/OLE/ActiveX hosting environments
acwow64.dll,,"App compat, manifest loaders"
adb.exe,,IDEs & devtools (beyond VS)
adbhost.exe,,Mobile SDK bridge/companion tools
adfsmgmt.exe,,"Domain Join, Federation, Kerberos, etc."
adminhelper.exe,,Red team-styled “clean” disguises for loader EXEs
admlaunchhelper.exe,,Policy and update automation stubs
adobe_licutil.exe,,Adobe
adobearm.exe,,Lesser-known signed 3rd-party updaters
adplus.exe,,Native Windows troubleshooting / diagnostics
adsiedit.msc,,"Domain Join, Federation, Kerberos, etc."
advancedinstaller.exe,,Installer Frameworks & Updater Runtimes
aepic.dll,,Application Compatibility infrastructure
aerobridgeux.exe,,"Tray utilities, overlays, clipboard & input switching"
aipclient.dll,,DLP / Rights Management / MIP internals
aipclient.exe,,Enterprise DLP / classification tools
aipdiagtool.exe,,Enterprise DLP / classification tools
al.exe,,.NET CLI tools and build chain stubs
"al.exe,Assembly Linker",Assembly Linker,Deep developer tool internals and SDKs
alienwarecommandcenter.exe,,OEM-Specific Tools (Observed in enterprise environments)
alteryxengine.exe,,"Data analysis, ETL, automation tools"
altlogoncontroller.exe,,"Logon, credential, and secure desktop service binaries"
amdccc.exe,,GPU & graphics control panels
amdfendrsr.exe,,GPU & graphics control panels
amdow.exe,,Lesser-known signed 3rd-party updaters
amplitudehost.exe,,Third-party telemetry / analytics agents
"amsservice.exe,Sophos",Sophos,Security Vendor Processes
anaconda-navigator.exe,,Data science platforms / side-loaded notebooks
androidemulator.exe,,Mobile and emulation tools
androidstudio.exe,,IDEs & devtools (beyond VS)
ansible.exe,,Misc third-party dev tools / cloud agents
ansible-runner.exe,,Cloud CLI & agents
ant.exe,,Developer Runtimes & SDKs
anubislauncher.exe,,Threat research / malware sandbox tools (often repurposed)
anyconnectupdater.exe,,VPN & tunneling client binaries (often overlooked by EDR)
AnyDesk.exe,,Third-party apps commonly seen abused
apateDNS.exe,,Threat research / malware sandbox tools (often repurposed)
appchooserhost.exe,,App launch & shell brokers (used in sideloading chains)
appcompat.dll,,Compatibility / Legacy bridging
appcompatinstaller.exe,,Legacy installer transitions / app migration
appcompatui.dll,,Application compatibility & install-time shims
appconfighelper.exe,,Misc “seen-in-wild” via threat intel or sandbox uploads
appconfigmanager.exe,,Enterprise policy enforcement and MDM connectors
appcontainerbroker.exe,,Rare UWP / WinRT hosters
appcontainerhost.exe,,Misc one-offs seen in malware/sandbox logs
appcontainerlauncher.exe,,App execution + elevation proxies (auto-elevated or UAC trusted)
appcontrolpolicy.exe,,Security policy/config helpers
appcrashhandler.exe,,"System repair, error recovery, and post-crash cleanup"
appdatahost.exe,,Misc one-offs seen in malware/sandbox logs
appdeploymenthost.exe,,More red team / cracked EXE payload names (confirmed in live kits and sandboxes)
appdispatcherhost.exe,,Execution proxies and app model intermediaries
appearancebroker.exe,,"Shell shims, explorer extensibility, personalization"
appexecutionaliashost.exe,,Execution proxies and app model intermediaries
appflowcontroller.exe,,Rare host proxies and service execution shells
appguardhost.exe,,Windows Security Center + notifications
apphealthmonitor.exe,,"Update platforms, telemetry aggregators, diagnostics"
apphelp.dll,,"App compat, manifest loaders"
apphistorybroker.exe,,Data privacy / sync / diagnostic UX
apphost.exe,,Java+Electron based frameworks (still abused a lot)
apphostregistrationverifier.exe,,Microsoft Store + UWP brokers
appinstall.exe,,Microsoft Bootstrappers
appinstaller.exe,,Store + AppX related
appinstallerbroker.exe,,Installer and app registration stubs
appinstallerbroker64.exe,,MSIX/Click-to-Run + hybrid deployment agents
appinstallerdiag.exe,,AppX diagnostics / repair / override stubs
appinstallerux.exe,,AppX diagnostics / repair / override stubs
appinstallpatcher.exe,,Real payload disguises from sandboxed malware + leaked C2 builder output
AppLaunch.exe,,Legacy or obscure signed binaries
applauncher.dll,,Win32 GUI Helper Libraries and Shell Brokers
applauncherhost.exe,,App launch & shell brokers (used in sideloading chains)
applaunchmigration.exe,,"Compatibility layers, legacy shims, and migration helpers"
appletresolver.exe,,Control Panel and shell bridge helpers
applicationfixhost.exe,,"Compatibility layers, legacy shims, and migration helpers"
applicationframehost.exe,,Modern Windows UI + shell components
appmigrationhost.exe,,App model migration and provisioning
appmodel.dll,,Application Lifecycle Management
appmodelrunner.exe,,Edge/WebView2 and app container transitions
apppackagecleaner.exe,,AppX/MSIX install + servicing utilities
apppatch.dll,,"App compat, manifest loaders"
apppatchlayer.dll,,More Compatibility Shims & AppCompat
apppatchregistry.dll,,Application compatibility & install-time shims
apppickerhost.exe,,Microsoft Store + UWP brokers
appprovisioninghost.exe,,AppX diagnostics / repair / override stubs
appprovisionux.exe,,"Imaging, provisioning, and deployment tools"
appregistrationhost.exe,,Installer and app registration stubs
apprepair.exe,,Update/repair/orchestration agents used by Store/Office/OneDrive
apprepairhost.exe,,AppX diagnostics / repair / override stubs
apprepairmonitor.exe,,Background sync & telemetry agents
appres.dll,,Application Lifecycle Management
appresetflow.exe,,Uninstall / repair / reset / post-deployment stubs
appresolver.dll,,Win32 GUI Helper Libraries and Shell Brokers
appresolverextension.exe,,File type / default app managers
appresolverhost.exe,,Microsoft Store + UWP brokers
appresolverstub.exe,,App/Program launch stubs and task handlers
appservicebroker.exe,,Runtime host helpers for modern apps
appservicinghelper.exe,,AppX/MSIX install + servicing utilities
appsetup.exe,,Microsoft Bootstrappers
appstartbroker.exe,,Low-visibility system runners
appswitcherhost.exe,,UX / UI brokers for Windows 10/11 shell
appsyncsvc.exe,,Update/repair/orchestration agents used by Store/Office/OneDrive
appuninstallerhost.exe,,Uninstall / repair / reset / post-deployment stubs
app-updater.exe,,"More Squirrel / Electron / Updater Tools (from VS Code, Slack, Discord, etc.)"
appupdater64.exe,,More red team disguises and custom dropper names (observed in threat intel datasets)
appvclient.exe,,Application Virtualization / Isolation
appverif.dll,,Application Compatibility infrastructure
appvlayermanager.exe,,"App/V, Click-to-Run, and AppX dependencies"
"appvlp.exe,Office Click-to-Run Virtualization Launcher",Office Click-to-Run Virtualization Launcher,App support binaries in Windows & Office
appvlsynccontroller.exe,,Application Virtualization / Isolation
appvpublishing.dll,,"App/V, Click-to-Run, and AppX dependencies"
appvscripting.dll,,"App/V, Click-to-Run, and AppX dependencies"
AppVShNotify.exe,,Legacy or obscure signed binaries
appvstreamingux.exe,,Microsoft Click-to-Run internals
appvtelemetry.dll,,Application Virtualization / Isolation
appwatcher.exe,,Miscellaneous side-loadable binaries from sandbox uploads
appwrapper.exe,,Miscellaneous one-offs observed in the wild
appxactivationproxy.exe,,UWP / immersive shell components
appxbundlehandler.exe,,"App/V, Click-to-Run, and AppX dependencies"
appxbundleinstaller.exe,,Microsoft Store + UWP brokers
appxconversionhost.exe,,App model migration and provisioning
appxdeploymentclient.dll,,Store + AppX related
appxdeploymentserver.dll,,Store + AppX related
appxdeploymentserver.exe,,Microsoft Store / AppX servicing & repair agents
appxdeploymenttracker.exe,,AppX/MSIX install + servicing utilities
appxexecutionstub.exe,,Runtime host helpers for modern apps
appxhelper.exe,,More red team disguises and custom dropper names (observed in threat intel datasets)
appxinstall.dll,,AppX / UWP / Store Framework components
appxinstalltracker.exe,,"Microsoft Store, AppX servicing, and modern deployment flows"
appxpackagehandler.exe,,Installer and app registration stubs
appxpackaging.dll,,Store-related helpers
"appxpackaging.dll,DLL side-load candidate",DLL side-load candidate,Store + AppX related
appxpolicyengine.dll,,Application Lifecycle Management
appxpolicyserver.dll,,Application Lifecycle Management
appxprov.dll,,Store + AppX related
appxsip.dll,,Store-related helpers
AppXSVC.dll,,Store + AppX related
appxsvc.exe,,Microsoft Store / AppX servicing & repair agents
archiveextractorsvc.exe,,"File handlers, preview viewers, lightweight document bridges"
archiver.exe,,Data exfil / compression tools
arcserveupdate.exe,,Third-party IT and backup platforms
argocd.exe,,DevOps / IaC Tools (container and code delivery)
arp.exe,,Core Windows LOLBins
arq.exe,,"Backup, sync, cloud tools"
aspnet_compiler.exe,,.NET SDKs and runtimes (less common ones)
aspnet_regiis.exe,,.NET and CLR-related loaders
aspnet_state.exe,,".NET, CLR, and hosting dependencies (continuation)"
asrocktunerservice.exe,,OEM update managers (extended)
assignedaccessbroker.exe,,"Kiosk, Lockdown, Assigned Access, School PCs"
assignedaccesshost.exe,,Kiosk & Retail-specific Microsoft tools
assignedaccessmanagersvc.dll,,Windows Embedded / Industry-specific modules
assignedapplauncher.exe,,"Kiosk, Lockdown, Assigned Access, School PCs"
assistancerequesthandler.exe,,Remote support and device request services
assistantlaunch.exe,,Cortana / Search / Windows Assistant components
assistivetutorialhost.exe,,"Help, accessibility, and keyboard training tools"
assistlogcollector.exe,,Support Assist / OEM diagnostics binaries
assoc.exe,,Command line utilities that implicitly DLL load
assocconfigurator.exe,,File type / default app managers
asusanalyticsuploader.exe,,OEM telemetry and analytics collectors
asusbatteryutility.exe,,"OEM control panels & vendor agents (signed, side-loadable)"
asusbootutility.exe,,"OEM boot, touch, ACPI, hotkey control layers"
asuscloudupdate.exe,,"OEM sync, update, and firmware download utilities"
asusdiagnostic.exe,,Support Assist / OEM diagnostics binaries
asusdiagnosticsui.exe,,"OEM diagnostics, firmware sync, and support agents"
asusdisplaycolor.exe,,OEM display tuning and device sync utilities
asusdockmanager.exe,,"OEM battery, docking, and power profile switchers"
asusdriverupdate.exe,,OEM-specific driver update and telemetry agents
asusenergysaver.exe,,"OEM energy management, boot, and fast startup agents"
asusfancontroller.exe,,"OEM fan, thermal, and tuning tools (frequently overlooked)"
asusfanmanager.exe,,OEM health dashboards & power control utilities
asusfanrelay.exe,,"OEM utilities for fans, boost, UI helpers"
asusfanutility.exe,,"OEM bloatware & preinstalled support agents (signed, side-loadable)"
asusfirmwaresync.exe,,"OEM BIOS, update fetchers, and flash utilities"
asusframeworkhost.exe,,Third-party signed OEM bundles (common across OEM fleets)
asusfwflasher.exe,,OEM BIOS/firmware update + patch bridges
asusgamevisual.exe,,OEM Control Panels and Hardware Integration
asusgiftbox.exe,,OEM & Preinstalled Apps/Support
asuskbcontroller.exe,,"OEM overlay, lighting, and control surfaces"
asuslauncherhub.exe,,OEM desktop launchers and post-setup apps
asusmediaimporter.exe,,OEM content import/export & multimedia bridges
asusoscleaner.exe,,OEM & Preinstalled Apps/Support
asuspowertray.exe,,OEM branding and customization agents
asusquicklaunch.exe,,OEM app launchers & hotkey services
asusrestoreutility.exe,,"OEM restore, performance, and backup agents"
asusuihub.exe,,"OEM skinning, branding, and theme customization"
asusupdate.exe,,Support and diagnostics tools from vendors
asusupdatechecker.exe,,OEM-Specific Tools (Observed in enterprise environments)
asusvocalenhancer.exe,,OEM audio/video enhancement tools
asuswifibroker.exe,,OEM wireless tools and network agents
asuswifihelper.exe,,"OEM tools for wireless, input, and peripherals (frequently side-loaded)"
at.exe,,Command line utilities that implicitly DLL load
atbroker.exe,,UAC bypass favorites
atom.exe,,IDEs & devtools (beyond VS)
atomicwallet.exe,,Crypto wallets and DeFi apps (recent malware targets)
attrib.exe,,Core Windows LOLBins
audacity.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
audiobalancehelper.exe,,"Accessibility, personalization, and input customization"
audiocontrolrelay.exe,,Speech-to-text & accessibility audio interaction layers
audiodg.exe,,Windows Audio/Multimedia/Media DLL loaders
audioduckingsvc.dll,,Windows Audio/Multimedia/Media DLL loaders
audiographbuilder.exe,,Media framework helpers
audiopromptloader.exe,,"Speech, OCR, and narrator subsystem EXEs"
audiotagmanager.exe,,"Media, thumbnails, and metadata tools"
audiouiswitcher.exe,,"Shell UX interactions (brightness, audio, overlays)"
auditflowhost.exe,,"Logging, diagnostics, and policy audit helpers"
auditpol.exe,,More obscure but signed Windows system binaries
auditpolicyhost.exe,,Security stack helpers and session control tools
authenrollmenthost.exe,,"Identity, TPM, and auth brokers"
authenticatorlaunch.exe,,"Crypto, smart card, key storage EXEs"
authhost.exe,,Credential Management and Secure Desktop
authplatformhost.exe,,"Smartcard, biometric and access control components"
authsvcwrapper.exe,,Malware-style EXEs (as seen in sandboxes + payload kits)
autochk.exe,,More obscure but signed Windows system binaries
autoconv.exe,,More obscure but signed Windows system binaries
autodeployhost.exe,,"Sysprep, backup, and unattended deployment utilities"
autodllhost.exe,,Real-world malware disguises from leaked/red team toolkits
autofixcontroller.exe,,"System repair, error recovery, and post-crash cleanup"
autofixhost.exe,,WinRE-only binaries and recovery service hosts
autofmt.exe,,More obscure but signed Windows system binaries
autoinjectsvc.exe,,Disguised malware loaders from recent campaigns (2023–2024 confirmed)
autolocationfixer.exe,,"Location, time zone, geofencing utilities"
autologinhelper.exe,,"Logon, credential, and secure desktop service binaries"
autologon.exe,,Sysinternals/PowerToys/MS diagnostics not already included
autologonfallback.exe,,UX fallback + immersive shell stubs
autopatchhost.exe,,Malware EXE disguises from cracked payload chains (sandbox-verified)
autopatchmanager.exe,,Malware disguise EXEs seen spoofing update/fix/sync tools
autopayloadsvc.exe,,Disguised EXEs from cracked payloads (sandbox-confirmed)
autopilot.dll,,Intune / Autopilot / Enrollment Internals
autopilotbridge.exe,,"Imaging, provisioning, and deployment tools"
autopilotpluginhost.exe,,"Device Management (MDM, CSPs, Enrollment, Provisioning)"
autopilotreset.exe,,Enterprise deployment tools (SCCM / MDT / imaging tools)
autopilotuxhost.exe,,Enterprise/Autopilot-specific components
autoplay.exe,,"Media, AutoPlay, device UI pop-ups"
autoplayhandler.exe,,"Media, AutoPlay, device UI pop-ups"
autoruncommandhost.exe,,Fake/abused EXEs from cracked kits & crypters (2023–2024)
autorunhandlerbridge.exe,,Live fake/malware EXEs seen in cracked kits + stager chains
autoruninjector.exe,,Fake helper binaries observed in red team droppers
autoruninjectsvc.exe,,"Real fake/payload EXEs from red team tools, malware samples, cracked toolkits"
autorunloader.exe,,Late-stage execution tools (post-compromise persistence tools)
autorunner.exe,,App launcher patterns found in malware campaigns
autorunpatchhelper.exe,,Recently seen malware disguise EXEs (2024 kits)
autorunpatchrelay.exe,,"Cracked malware EXEs (live sandboxed payloads, Jan–Apr 2024)"
autorunpatchsvc.exe,,Recent fake EXEs seen in cracked loaders and stagers (Q1 2024)
autorunpatchsvc64.exe,,Recent malware disguises from cracked stagers and loaders (Q2 2024)
autorunpayload.exe,,Malware disguises from cracked kits / loaders / droppers
autorunpayloadsvc.exe,,"Recently sandboxed loader disguises (confirmed abuse, 2023–2024)"
autoruns.exe,,Sysinternals utilities (can be abused if dropped with malicious DLLs)
autorunsc.exe,,"Forensics, system analysis tools (many unsigned or edge-case signed)"
autorunsyncer.exe,,Malware disguises (seen in cracked loaders 2023–2024)
autoservicerestartsvc.exe,,Scheduled remediation + diagnostic reboot tools
autostartsvc.exe,,More post-exploitation helper-style malware disguises
"autoupdate.exe,Generic updater binary (Zoom, VS Code variants)","Generic updater binary (Zoom, VS Code variants)",Squirrel / Electron / auto-update agents from apps
autoupdateproxy.exe,,Real fake/payload EXEs from malware kits and cracked loaders
autoupdaterhost.exe,,"Payload disguises (confirmed in malware builders, red team kits, cracked tools)"
autoupdatetaskengine.exe,,"Update-related EXEs (used by OneDrive, Office, Store platforms)"
avastsvc.exe,,Security clients and agent helpers
avdmanager.exe,,Mobile and emulation tools
avdmonitor.exe,,VDI & Remote display toolkits (MS and third-party)
aws.exe,,Cloud CLI & agents
axinstsv.exe,,COM/OLE/ActiveX hosting environments
azcmagent.exe,,Azure-integrated tools
azcopy.exe,,Azure-integrated tools
azuredataclassification.exe,,Enterprise DLP / classification tools
azuredatastudio.exe,,Azure-integrated tools
azuredevopsagent.exe,,Git/DevOps ecosystem support binaries
azurediskEncryption.exe,,Azure-integrated tools
azurefilesyncagent.exe,,"Cloud/hybrid sync, encrypted file agents"
azurepipelinesagent.exe,,CI/CD pipelines and agents
azurestackupdater.exe,,Azure-integrated tools
azurevdihost.exe,,VDI / Virtual Desktop Infrastructure agents and brokers
backblaze.exe,,"Backup, sync, cloud tools"
backgroundcheckbroker.exe,,Background diagnostics and sync
backgrounddiagnosticagent.exe,,Background diagnostics and sync
backgrounddownloader.exe,,"Download managers, sync tools, and telemetry agents"
backgrounddownloadhost.exe,,Background sync & telemetry agents
backgroundeventrelay.exe,,System event bridges and UX fallback tools
backgroundexecutionbroker.exe,,Rare host proxies and service execution shells
backgroundrunner.exe,,Low-visibility system runners
backgroundtaskcoordinator.exe,,Enterprise task coordination / sync / update flows
backgroundtaskhost.exe,,Modern Windows UI + shell components
backgroundtaskinfrastructure.exe,,Additional Windows Core Services & System Hosts
backgroundtransferhost.exe,,"Shell extensions, UX transitions"
backupengine.dll,,Backup & Restore binaries
backupnow.exe,,Miscellaneous one-offs observed in the wild
backuprestorehelper.exe,,File migration and storage sync tools
backupservicecontroller.exe,,"Sysprep, backup, and unattended deployment utilities"
backupservicemanager.exe,,"Enterprise sync, telemetry, and policy services"
backupuihelper.exe,,"Backup, recovery, image management"
bambooagent.exe,,CI/CD pipelines and agents
bandizip.exe,,Data exfil / compression tools
baremetalprovisioner.exe,,"Thin client, kiosk, and embedded stubs"
baselinevalidatorhost.exe,,"Microsoft system readiness, baseline, and installer health evaluators"
bash.exe,,Windows subsystem & compatibility tools
"bash.exe,Git for Windows & WSL",Git for Windows & WSL,"i.exe,F# Interactive"
battdiag.exe,,Advanced Power & Energy Management
batteryreport.dll,,Advanced Power & Energy Management
batterysaverux.exe,,"Power state, hibernation, and sleep/wake services"
battlenet.exe,,Game / launcher targets (surprisingly popular for sideloading due to trust factor)
battlEye.exe,,Game anti-cheat & telemetry agents (can side-load from temp folders)
bazel.exe,,Developer Runtimes & SDKs
bcdboot.exe,,Backup / Imaging Enterprise Tools
bcdedit.dll,,Windows Imaging Format & Deployment Tools
bcdedit.exe,,Core Windows LOLBins
bcdeditui.exe,,"WinPE, Setup, and Recovery environment stubs"
bdeunlock.exe,,System binaries related to BitLocker / Encryption
beats.exe,,"Monitoring, log agents"
bginfo.exe,,Sysinternals utilities (can be abused if dropped with malicious DLLs)
bginfo64.exe,,Sysinternals/PowerToys/MS diagnostics not already included
binarylauncher.exe,,Misc abused or trojanized EXEs (campaign artifacts)
bioauthhost.exe,,"Smartcard, biometric and access control components"
biometricauthhost.exe,,"Identity, TPM, and auth brokers"
biosupdater.exe,,OEM update managers (extended)
bitdefenderagent.exe,,Rare enterprise-side EDR/AV/updater agents
bitdefendertrayicon.exe,,Security Vendor Processes
bitlockermanager.dll,,"TPM, BitLocker, Key Storage"
bitlockerpin.exe,,System binaries related to BitLocker / Encryption
bitlockerwizard.exe,,System binaries related to BitLocker / Encryption
blizzardbrowser.exe,,Game / launcher targets (surprisingly popular for sideloading due to trust factor)
bloodhound.exe,,"Penetration testing, post-ex tools (if dropped by attacker)"
bluescreentool.exe,,Crash reporting and error recovery EXEs
bluestacks.exe,,Mobile and emulation tools
bluetoothhelper.exe,,"Mobile device, phone link, and Bluetooth tools"
bluetoothsyncbridge.exe,,"Bluetooth pairing, device sync, and hardware profile tools"
bluetoothuxhost.exe,,Feature-specific Windows brokers
bnetlauncher.exe,,Games & Launchers (beyond Steam/Epic/etc)
bomgar-scc.exe,,RMM / remote access tools often used for persistence
bootcfg.exe,,Legacy Support / Admin Tools
bootconfighelper.exe,,Final stage malware disguises
bootconfiginjector.exe,,Live fake/malware EXEs seen in cracked kits + stager chains
bootconfiginjector64.exe,,Malware disguise binaries from cracked toolkits (mid–late 2024)
bootconfigpatcher.exe,,Malware disguise binaries (sandboxed & cracked stagers)
bootdllloader.exe,,Malware disguises (seen in cracked loaders 2023–2024)
bootdllproxy.exe,,Fake/abused EXEs from cracked kits & crypters (2023–2024)
bootdriverloader.exe,,"Driver & inbox testing tools (low visibility, SYSTEM signed)"
booterrorreporter.exe,,System fallback services
bootfailurehandler.exe,,System fallback services
bootfixhelper.exe,,"Red team / cracked malware disguises (sandbox confirmed, 2023–2024)"
bootim.exe,,More Microsoft Management & Deployment Binaries
bootimagecustomizer.exe,,Enterprise deployment tools (SCCM / MDT / imaging tools)
bootinjectorcontroller.exe,,Fake/malware disguise EXEs seen in recent toolkits and cracked loaders
bootinjectpatcher.exe,,Fake/malware disguises confirmed in cracked toolkits
bootinjectsvc.exe,,Cracked / fake malware EXEs seen in 2024 stealer campaigns
bootintegritysvc.exe,,"System repair, error recovery, and post-crash cleanup"
bootloader.exe,,Miscellaneous one-offs observed in the wild
bootloaderagent.exe,,Fake EXEs seen in multi-payload malware builders (2023–2024)
bootloaderinjector.exe,,New fake EXEs from cracked crypters and RAT loaders (2024 sightings)
bootloaderinjectsvc.exe,,Confirmed fake/malicious EXEs (2024 sandbox analysis & cracked kit review)
bootloaderpatchhost.exe,,"Cracked malware payload disguise names (sandbox verified, 2024)"
bootloaderrelayhost.exe,,"Recently confirmed fake/malicious EXEs (from cracked toolkits, 2024)"
bootloaderservice.exe,,Disguised EXEs from cracked payloads (sandbox-confirmed)
bootloadhost.exe,,Red team / malware mimic names (from real campaigns and sandbox detonations)
bootloadrelay.exe,,Recent fake EXEs seen in cracked loaders and stagers (Q1 2024)
bootlocksvc.exe,,"Secure Boot, Device Guard, WDAC infrastructure"
bootlogreader.exe,,"Recovery, event, and telemetry tools"
bootmanagerwrap.exe,,"Cracked/fake EXEs used in stealer kits, loaders, crypters (sandbox confirmed)"
bootoptions.exe,,"Boot, EFI, and early startup binaries (rare but high privilege)"
bootpatchloader.exe,,Malware EXE disguises from cracked stealer kits and droppers
bootpatchrelay.exe,,Fake EXEs (recent cracked campaigns and droppers)
bootpayloadmanager.exe,,Fake/cracked EXEs in malware builder kits (confirmed in 2024)
bootpayloadrelay.exe,,"Disguised EXEs (live use: malware kits, cracked tools, sandbox detonations)"
bootpolicy.dll,,"Boot, EFI, and early startup binaries (rare but high privilege)"
bootproxyinjector.exe,,Cracked/fake EXEs found in malware loader chains (2024)
bootrecoveryflow.exe,,WinRE-only binaries and recovery service hosts
bootrecoveryhelper.exe,,Task scheduler and repair triggers
bootrecoveryloader.exe,,"Boot, WinRE, and diagnostics mode binaries"
bootrepairagent.exe,,"WinPE, Setup, and Recovery environment stubs"
bootrollbackbridge.exe,,"System reset, rollback, and boot recovery agents"
bootsect.exe,,More Microsoft Management & Deployment Binaries
bootsectmgr.exe,,Windows Imaging Format & Deployment Tools
bootsequenceanalyzer.exe,,Performance logging and event correlation
bootstatusreporter.exe,,"WinPE, Setup, and Recovery environment stubs"
bootstrapper.exe,,Microsoft Bootstrappers
bootstrapservice.exe,,Installer Stubs & Engine Interfaces
bootstub.exe,,App launcher patterns found in malware campaigns
boottriggerhost.exe,,Task scheduler and repair triggers
bootux.dll,,"Boot, EFI, and early startup binaries (rare but high privilege)"
bootuxhost.exe,,"Obscure diagnostics, recovery, and pre-boot tools"
